Bulbasaur; BUL-buh-sore
Voltorb; VOL-torb
Electrode; ee-LECK-trode
Exeggcute; EGGS-egg-cute
Exeggutor; eks-EGG-you-tor
Cubone; CUE-bone
Marowack; MAR-row-wack
Hitmonlee; HIT-mon-lee
Hitmonchan; HIT-mon-chan
Lickitung; LICK-i-tung
Koffing; CAWF-ing
Weezing; WEEZE-ing
Rhyhorn; RYE-horn
Rhydon; RHY-donn
Chansey; CHAN-see
Tangela; TANG-guh-luh
Kangaskhan; KANG-gus-kon
Horsea; HORSE-ee
Seadra; SEE-druh
Goldeen; goal-DEEN
Seaking; SEE-king
Staryu; STAR-you
Starmie; STAR-me
Mr. Mime; MIS-ter-MIME
Scyther; SYE-ther
Jynx; JINCKS
Electabuzz; uh-LECK-tuh-buzz
Magmar; MAG-mar
Pinsir; PIN-ser
Tauros; TOR-ose
Magikarp; MAG-i-karp
Gyarados; GAR-i-dose
Lapras; LAP-ress
Ditto; DI-toh
Eevee; EE-vee
Vaporeon; vay-POR-ee-on
Jolteon; JOLT-ee-on
Flareon; FLARE-ee-on
Porygon; POR-ee-gon
Omanyte; AHM-uh-nite
Omastar; AHM-uh-star
Kabuto; kuh-BOO-toe
Kabutops; kuh-BOO-tops
Aerodactyl; air-oh-DACK-tull
Snorlax; SNORE-lacks
Articuno; are-ti-KOO-no
Zapdos; ZAP-dose
Moltres; MOLE-trace
Dratini; druh-TEE-nee
Dragonair; DRAG-uh-NARE
Dragonite; DRAG-uh-NITE
Mewtwo; MEW-too
Mew; MEW
Chikorita; CHIK-oh-REE-tah
Bayleef; BAY-leaf
Meganium; meh-GAY-nee-uhm
Cyndaquil; SIN-dah-kwil
Quilava; kwi-LA-vah
Typhlosion; ty-FLOW-shin
Totodile; TO-to-dile
Croconaw; KROK-uh-nah
Feraligatr; fur-AHL-ih-gay-ter
Sentret; SEN-tret; 
Furret; FUR-et
Hoothoot; HOOT-hoot
Noctowl; NOKT-owl
Ledyba; LED-ee-bah
Ledian; LED-ee-on
Spinarak; SPIN-ah-rak
Ariados; AIR-ee-ah-dos
Crobat; KROW-bat
Chinchou; CHIN-chow
Lanturn; LAN-tern
Pichu; PEE-choo
Cleffa; CLEF-ah
Igglybuff; IGG-lee-buff
Togepi; TOE-geh-pi
Togetic; TOE-geh-tik
Natu; NAH-too
Xatu; ZAH-too
Mareep; mah-REEP
Flaffy; FLA-fee
Ampheros; AM-fare-ohs
Bellossom; bel-OS-uhm
Marill; MAH-rill
Azumarill; ah-ZOO-mah-RIL
Sudowoodo; SOO-doh-WOO-doh
Politoed; POL-ee-towd
Hoppip; HOP-ip
Skiploom; SKIH-ploom
Jumpluff; JUM-pluff
Aipom; AY-pom
Sunkern; SUN-kern
Sunflora; sun-FLOR-ah
Yanma; YAN-mah
Whooper; WOO-per
Quagsire; KWAG-sire
Espeon; ES-pee-on
Umbreon; UM-bree-on
Murkrow; MER-krow
Slowking; SLOW-king
Misdreavus; mis-DREE-vis
Unown; UH-known 
Wobbuffet; WOBB-uh-fet
Girafarig; jer-AF-ah-rig
Pineco; PINE-koh
Forretress; FOR-eh-tress
Dunsparce; DUN-sparse
Gligar; GLYE-gar
Steelix; STEEL-iks
Snubbulll; SNUH-bul
Granbull; GRAN-bul
Qwilfish; KWIL-fish
Scizor; SIZ-or
Shuckle; SHUK-uhl
Heracross; HARE-uh-cross
Sneasel; SNEE-sel
Teddiursa; ted-ee-UR-sah
Ursaring; ER-sah-ring
Slugma; SLUG-mah
Magcargo; mag-KAR-go
Swinub; SWINE-ub
Piloswine; PIE-low-swine
Corsola; KOR-soh-lah
Remoraid; REM-oh-rade
Octillery; ok-TILL-er-ee
Delibird; DEH-lee-bird
Mantine; MAN-teen
Skarmory; SKARM-er-ee
Houndour; HOWN-dow-er
Houndoom; hown-DOOM
Kingdra; KING-drah
Phanpy; FAN-pee
Donphan; DON-fan
Porygon2; POR-ee-gon two
Stantler; STANT-ler
Smeargle; SMEER-guhl
Tyrogue; TIE-rowg
Hitmontop; HIT-mon-top
Smoochum; SMOO-chum
Elekid; EL-ih-kid
Magby; MAG-bee
Miltank; MIL-tank
Blissey; BLISS-ee
Raikou; RIE-koh
Entei; EN-tay
Suicune; SWEE-koon
Larvitar; LAR-vih-tar
Pupitar; PYOO-pih-tar
Tyranitar; tie-RAN-ih-tar
Lugia; LOO-gee-uh
Ho-oh; HO-oh
Celebi; SELL-uh-bee
Treecko; TREE-kow
Grovyle; GROW-vile
Sceptile; SEP-tile
Torchic; TOR-chik
Combusken; kum-BUS-ken
Blaziken; BLAY-zih-ken
Mudkip; MUD-kip
Marshtomp; MARSH-tomp
Swampert; SWAM-pert
Poochyena; POO-chee-YEN-ah
Mightyena; MYE-tee-EHN-ah
Zigzagoon; zig-zag-OON
Linoone; lie-NOON
Wurmple; WORM-puhl
Silcoon; sil-KOON
Beautifly; BYOO-ti-fly
Cascoon; kas-KOON
Dustox; DUS-toks
Lotad; LOW-tad
Lombre; LOM-brey
Ludicolo; LOO-di-KO-loh
Seedot; SEE-dot
Nuzleaf; NUZ-leaf
Shiftry; SHIF-tree
Taillow; TAIL-oh
Swellow; SWELL-oh
Wingull; WEEN-gull
Pelipper; PEL-ih-per
Ralts; ROHLTS
Kirlia; KER-lee-ah
Gardevoir; GAR-de-vwar
Surskit; SER-skit
Masquerain; mas-ker-AIN
Shroomish; SHROOM-ish
Breloom; BREH-loom
Slakoth; SLA-koth
Vigoroth; VIG-er-oth
Slaking; SLA-king
Nincada; nin-KA-duh
Ninjask; NIN-jask
Shedinja; shed-IN-jah
Whismur; WIS-mer
Loudred; LOW-dred
Exploud; eks-PLOWD
Makuhita; mah-koo-HEE-tah
Hariyama; har-ee-YA-mah
Azurilll; ah-ZOO-ril
Nosepass; NOZE-pas
Skitty; SKIT-ee
Delcatty; del-KAT-ee
Sableye; SAY-bel-eye
Mawile; MAH-wile
Aron; AIR-on
Lairon; LARE-on
Aggron; AG-ron
Meditite; MED-ih-tite
Medicham; MED-ih-cham
Electrike; ee-LEK-trike
Manectric; MANE-EK-trick
Plusle; PLUS-uhl
Minun; MY-nin
Volbeat; VOL-beet
Illumise; EE-loo-MEE-zay
Roselia; row-ZEL-ee-uh
Gulpin; GUL-pin
Swalot; SWAL-ot
Carvanha; kar-VAHN-uh
Sharpedo; shar-PEE-doh
Wailmer; WAYL-mer
Wailord; WAYL-ord
Numul; NUM-ul
Camerupt; KAM-er-upt
Torkoal; TOR-kol
Spoink; SPOINK
Grumpig; GRUM-pig
Spinda; SPIN-duh
Trapinch; TRA-pinch
Vibrava; vie-BRA-vah
Flygon; FLY-gon
Cacnea; KAK-nee-uh
Cacturne; KAK-tern
Swablu; SWAB-loo
Altaria; ahl-TAH-ree-uh
Zangoose; ZAN-goos
Seviper; suh-VIE-per
Lunatone; LOO-nah-tone
Solrock; SOHL-rock
Barboach; bar-BOCH
Whiscash; WIS-cash
Corphish; KOR-fish
Crawdaunt; CRAW-dohnt
Baltoy; BAHL-toy
Claydol; KLAY-dol
Lileep; lil-EEP
Cradily; cray-DILL-ee
Anorith; AN-oh-rith
Armaldo; ar-MAL-dow
Feebas; FEE-bas
Milotic; MY-low-tik
Castform; KAST-form
Kecleon; KEK-lee-on
Shuppet; SHUP-et
Banette; bay-NET
Duskull; DUS-kull
Disclops; DUS-klops
Tropius; TROP-ee-us
Chimecho; chime-EK-oh
Absol; AB-sahl
Wynaut; Why-not
Snorunt; SNOW-runt
Glalie; GLAY-lee
Spheal; SFEEL
Sealeo; SEEL-ee-oh
Walrein; WAL-rain
Clamperl; KLAM-perl
Huntail; HUN-tail
Goryebyss; GOR-ih-bis
Relicanth; REL-ih-kanth
Luvdisc; LUV-disk
Bagon; BAY-gon
Shelgon; SHEL-gon
Salamence; SAH-lah-mense
Beldum; BEL-dum
Metang; muh-TANG
Metagross; MEH-tah-gross
Regirock; REJ-ee-rock
Regice; REJ-ice
Registeel; REJ-ee-steel
Latias; LAH-tee-ahs
Latios; LAH-tee-ohs
Kyogre; kie-OH-ger
Groudon; GROW-don
Rayquaza; RAY-KWAY-zuh
Jirachi; juh-RAH-chee
Deoxys; dee-OKS-is
Turtwig; TER-twig
Grotle; GROH-tle
Torterra; tor-TARE-uh
Chimchar; CHIM-char
Monferno; mon-FER-no
Infernape; in-FER-nape
Piplup; PIP-lup
Prinplup; PRIN-plup
Empoleon; em-POH-lee-on
Starly; STAR-ly
Staravia; stah-RAY-vee-uh
Staraptor; stah-RAP-tor
Bidoof; BEE-doof
Bibarel; BEE-bar-el
Kricketot; KRIK-eh-tot
Kricketune; KRIK-eh-toon
Shinx; SHINKS
Luxio; LUK-see-oh
Luxray; LUKS-ray
Budew; buh-DOO
Roserade; ROSE-rade
Cranidos; CRAY-nee-dos
Rampardos; ram-PAR-dos
Shieldon; SHEEL-don
Bastiodon; BASS-tee-oh-don
Burmy; BERM-ee
Wormadam; WERM-ah-dam
Mothim; MOTH-im
Combee; COWM-bee
Vespiquen; VES-pih-kwen
Pachirisu; pah-chee-REE-soo
Buizel; BWEE-zuhl
Floatzel; FLOAT-zuhl
Cherubi; che-ROO-bee
Cherrim; CHAIR-um
Shellos; SHELL-ohs
Gastrodon; GAS-trow-don
Ambipom; AM-bih-pom
Drifloon; DRIF-loon
Drifblim; DRIF-blim
Buneary; bun-EAR-ee
Lopunny; LOH-pun-ee
Mismagius; mis-MAG-ee-us
Honchkrow; HONCH-krow
Glameow; GLA-mee-ow
Purugly; per-UG-lee
Chingling; CHING-ling
Stunky; STUN-key
Skuntank; SKUN-tank
Bronzor; BRON-zore
Bronzong; bron-ZONG
Bonsly; BON-sleye
Mime Jr.; MYME JYOON-yer
Happiny; hah-PEE-nee
Chatot; CHA-tot
Spiritomb; SPEER-ih-toom
Gible; GIB-uhl
Gabite; guh-BITE
Garchomp; GAR-chomp
Munchlax; MUNCH-laks
Riolu; ree-OH-loo
Lucario; loo-KAR-ee-oh
Hippopotas; HI-pow-puh-TOS
Hippowdon; hih-POW-don
Skorupi; sku-ROO-pee
Drapion; DRAH-pee-on
Croagunk; KRO-gunk
Toxicroak; TOKS-ih-kroke
Carnivine; CAR-nih-vine
Finneon; FIN-ee-on
Luminion; lu-MIN-ee-on
Mantyke; MAN-tike
Snover; SNOW-ver
Abomasnow; ah-BOM-ah-snow
Weavile; WEE-vile
Magnezone; MAG-nuh-zone
Lickilicky; LIK-ee-LIK-ee
Rhyperior; ry-PEER-ee-er
Tangrowth; TANG-growth
Electivire; ee-LEK-tuh-vire
Magmortar; mag-MOR-ter
Togekiss; TOE-guh-kiss
Yanmega; yan-MAY-guh
Leafeon; LEAF-ee-on
Glaceon; GLAY-see-on
Gliscor; GLYE-skor
Mamoswine; MAHM-oh-swine
Porygon-Z; POR-ee-gon ZEE
Gallade; guh-LADE
Probopass; PRO-bow-pass
Dusknoir; DUSK-nwar
Frosslass; FROS-las
Rotom; ROW-tom
Uxie; YOOK-see
Mesprit; MES-prit
Azelf; AZ-elf
Dialga; dee-AHL-guh
Palkia; PAHL-kee-uh
Heatran; HE-tran
Regigigus; re-ji-GEE-gus
Giratina; GEER-uh-TEE-nuh
Cresselia; cre-SEL-ee-uh
Phione; fee-OH-nay
Manaphy; MAN-uh-fee
Darkrai; DAR-kreye
Shaymin; SHAY-min
Arceus; AR-kee-is
Victini; vik-TEE-nee
Snivy; SNYE-vee
Servine; SUR-vine
Serperior; sur-PEER-ee-ur
Tepig; TEH-pig
Pignite; pig-NITE
Emboar; EM-bohr
Oshawott; AH-shuh-waht
Dewott; DOO-waht
Samurott; SAM-ur-aht
Patrat; puh-TRAT
Watchog; WAH-chog
Lillipup; LIL-ee-pup
Herdier; HERD-ee-ur
Stoutland; STOWT-lind
Purrloin; PURR-loin
Liepard; LYE-purd
Pansage; PAN-sayj
Simisage; SIH-mee-sayj
Pansear; PAN-seer
Simisear; SIH-mee-seer
Panpour; PAN-pohr
Simipour; SIH-mee-pohr
Munna; MOO-nuh
Musharna; moo-SHAR-nuh
Pidove; pee-DUV
Tranquill; TRAN-kwil
Unfezant; un-FEZ-ent
Blitzle; BLIT-sul
Zebstrika; zeb-STRYE-kuh
Roggenrola; RAH-gen-ROH-lah
Boldore; BOHL-dohr
Gigalith; GEE-gah-lith
Woobat; WOO-bat
Swoobat; SWOO-bat
Drilbur; DRIL-bur
Excadrill; EKS-kuh-dril
Audino; AH-din-oh
Timburr; TIM-bur
Gurdurr; GUR-dur
Conkeldurr; kong-KELL-dur
Tympole; TIM-pohl
Palpitoad; PAL-pih-tohd
Seismitoad; SYZ-mih-tohd
Throh; THROH
Sawk; SAHK
Sewaddle; seh-WAHD-ull
Swadloon; swad-LOON
Leavanny; lee-VAN-nee
Venipede; VEHN-ih-peed
Whirlipede; WHIR-lih-peed
Scolipede; SKOH-lih-peed
Cottonee; KAHT-tuh-nee
Whimsicott; WHIM-sih-kaht
Petilil; PEH-tuh-lil
Lilligant; LIL-luh-gint
Basculin; BASS-kyoo-lin
Sandile; SAN-dyle
Krokorok; KRAHK-oh-rahk
Krookodile; KROOK-oh-dyle
Darumaka; DAH-roo-MAH-kuh
Darmanitan; dar-MAN-ih-tan
Maractus; mah-RAK-tis
Dwebble; DWEH-bul
Crustle; KRUS-tul
Scraggy; SKRAG-ee
Scrafty; SKRAF-tee
Sigilyph; SIH-jih-liff
Yamask; YAH-mask
Cofagrigus; KAHF-ah-GREE-gis
Tirtouga; teer-TOO-guh
Carracosta; KAR-ruh-KAHS-tuh
Archen; AR-ken
Archeops; AR-kee-ops
Trubbish; TRUB-ish
Garbodor; gar-BOH-dur
Zorua; ZOHR-oo-uh
Zoroark; ZOHR-oh-ark
Minccino; min-CHEE-noh
Cinccino; chin-CHEE-noh
Gothita; goth-EE-tuh
Gothorita; GOTH-oh-REE-tah
Gothitelle; GOTH-ih-tell
Solosis; soh-LOH-sis
Duosion; doo-OH-zhun
Reuniclus; REE-yoo-NEE-klus
Ducklett; DUK-lit
Swanna; SWAH-nuh
Vanillite; vuh-NIHL-ite
Vanillish; vuh-NIHL-ish
Vanilluxe; vuh-NIHL-uks
Deerling; DEER-ling
Sawsbuck; SAWZ-buck
Emolga; ee-MOHL-guh
Karrablast; KAR-uh-blast
Escavalier; ES-kav-uh-LEER
Foongus; FOON-gus
Amoonguss; uh-MOON-gus
Frillish; FRILL-ish
Jellicent; JELL-ih-sent
Alomomola; uh-LOH-muh-MOH-luh
Joltik; JOHL-tik
Galvantula; gal-VAN-choo-luh
Ferroseed; fer-AH-seed
Ferrothorn; fer-AH-thorn
Klink; KLINK
Klang; KLANG
Klinklang; KLING-klang
Tynamo; TYE-nuh-moh
Eelektrik; EE-lek-trick
Eelektross; EE-lek-trahs
Elgyem; ELL-jee-yem
Beheeyem; BEE-hee-yem
Litwick; LIT-wick
Lampent; LAM-pent
Chandelure; shan-duh-LOOR
Axew; AKS-yoo
Fraxure; FRAK-shur
Haxorus; HAKS-or-is
Cubchoo; KUB-choo
Beartic; BEHR-tick
Cryogonal; krye-AH-guh-nul
Shelmet; SHEL-mit
Accelgor; ak-SEL-gohr
Stunfisk; STUN-fisk
Mienfoo; MEEN-foo
Mienshao; meen-SHOU
Druddigon; DRUD-ih-gin
Golett; GOHL-et
Golurk; GOHL-urk
Pawniard; PAHN-yard
Bisharp; BIH-sharp
Bouffalant; BOO-fuh-lahnt
Rufflet; RUFF-lit
Braviary; BRAY-vee-ehr-ee
Vullaby; VULL-uh-bye
Mandibuzz; MAN-dih-buzz
Heatmor; HEET-mohr
Durant; durr-ANT
Deino; DYE-noh
Zweilous; TSVYE-lis
Hydreigon; hy-DRYE-gin
Larvesta; lar-VES-tuh
Volcarona; vahl-kuh-ROH-nuh
Cobalion; koh-BAY-lee-un
Terrakion; tur-AK-ee-in
Virizion; ver-EYE-zee-in
Tornadus; tohr-NAY-dis
Thundurus; THUN-dur-iss
Reshiram; RESH-ih-ram
Zekrom; ZEK-rahm
Landorus; LAN-der-is
Kyurem; KYOO-rem
Keldeo; KEL-dee-oh
Meloetta; MEH-loh-ET-uh
Genesect; JEN-uh-sekt
Chespin; CHESS-pin
Quilladin; QUILL-uh-din
Chesnaut; CHESS-naht
Fennekin; FEN-uh-kin
Braixen; BRAYK-sen
Delphox; DELL-fahks
Froakie; FROH-kee
Frogadier; frog-uh-DEER
Greninja; gruh-NIN-juh
Bunnelby; BUNN-uhl-bee
Diggersby; DIG-erz-bee
Fletchling; FLETCH-ling
Fletchinder; FLETCH-in-dur
Talonflame; TAL-in-flame
Scatterbug; SKAT-ur-bug
Spewpa; SPYOO-puh
Vivillon; VIH-vee-yahn
Litleo; LIT-lee-oh
Pyroar; PYE-rohr
Flabébé; fluh-BAY-bay
Floette; floh-ETT
Florges; FLOHR-jiss
Skiddo; SKID-oh
Gogoat; GOH-goht
Pancham; PAN-chum
Pangoro; PANG-gur-oh
Furfrou; FUR-froo
Espurr; ESS-purr
Meowstic; mee-OW-stik
Honedge; HONE-ej
Doublade; DUH-blade
Aegislash; EE-jih-slash
Spritzee; SPRIT-see
Aromatisse; uh-ROHM-uh-TEES
Swirlix; SWUR-liks
Slurpuff; SLUR-puff
Inkay; INK-ay
Malamar; MAL-uh-mar
Binacle; BYE-nuh-kull
Barbaracle; bar-BEHR-uh-kull
Skrelp; SKRELP
Dragalge; druh-GAL-jee
Clauncher; KLAHN-chur
Clawitzer; KLAH-wit-sur
Helioptile; HEE-lee-AHP-tile
Heliolisk; HEE-lee-oh-lisk
Tyrunt; TYE-runt
Tyrantrum; tye-RAN-trum
Amaura; uh-MOHR-uh
Aurorus; uh-ROHR-is
Sylveon; SILL-vee-ahn
Hawlucha; haw-LOO-chuh
Dedenne; deh-DEN-ay
Carbink; KAR-bink
Goomy; GOO-mee
Sliggoo; SLIH-goo
Goodra; GOO-druh
Klefki; KLEF-kee
Phantump; FAN-tump
Trevenant; TREV-uh-nunt
Pumpkaboo; PUMP-kuh-boo
Gourgeist; GOHR-geist
Bergmite; BURG-mite
Avalugg; AV-uh-lug
Noibat; NOY-bat
Noivern; NOY-vurn
Xerneas; ZURR-nee-us
Yveltal; ee-VELL-tall
Zygarde; ZYE-gard
Diancie; dye-AHN-see
Hoopa; HOO-puh
Volcanion; vahl-KAYN-ee-un
Rowlet; ROW-lit
Dartrix; DAR-triks
Decidueye; dih-SIJ-yoo-eye
Litten; LIT-in
Torracat; TOHR-uh-kat
Incineroar; in-SIN-uh-rohr
Popplio; PAHP-lee-oh
Brionne; bree-AHN
Primarina; PREE-muh-REE-nuh
Pikipek; PIK-ee-pek
Trumbeak; TRUM-beek
Toucannon; too-KAN-in
Yungoos; YUNG-goos
Gumshoos; GUM-shooz
Grubbin; GRUB-in
Charjabug; CHAR-juh-bug
Vikavolt; VEE-kuh-volt
Crabrawler; krab-RAH-lur
Crabominable; krab-AHM-in-uh-bull
Oricorio; ohr-ih-KOHR-ee-oh
Cutiefly; KYOO-tee-fly
Ribombee; rih-BAHM-bee
Rockruff; RAHK-ruff
Lycanroc; LYE-kin-rahk
Wishiwashi; WISH-ee-wash-ee
Mareanie; muh-REE-nee
Toxapex; TAHKS-uh-peks
Mudbray; MUD-bray
Mudsdale; MUDZ-dale
Dewpider; DOO-pih-durr
Araquanid; uh-RA-kwuh-nid
Fomantis; foh-MAN-tiss
Lurantis; lur-ANN-tiss
Morelull; MOHR-uh-lull
Shiinotic; shee-NAH-tik
Salandit; suh-LAN-dit
Salazzle; suh-LAZ-ull
Stufful; STUH-full
Bewear; buh-WEHR
Bounsweet; BOWN-sweet
Steenee; STEE-nee
Tsareena; tsuh-REE-nuh
Comfey; KUM-fee
Oranguru; uh-RANG-guh-roo
Passimian; pass-SIM-ee-un
Wimpod; WIM-pahd
Golisopod; guh-LYE-soh-pahd
Sandygast; SAND-ee-gast
Palossand; PAL-uh-sand
Pyukumuku; PYOO-koo-MOO-koo
Type: Null; type-NULL
Silvally; sill-VAL-eye
Minior; MIN-ee-ohr
Komala; ko-MAH-luh
Turtonator; TURR-tuh-nay-turr
Togedemaru; TOH-geh-deh-MAR-oo
Mimikyu; MEE-mee-kyoo
Bruxish; BRUK-sish
Drampa; DRAM-puh
Dhelmise; dell-MIZE
Jangmo-o; JANG-moh-oh
Hakamo-o; HAH-kuh-MOH-oh
Kommo-o; KOH-moh-oh
Tapu Koko; TAH-poo-KOH-koh
Tapu Lele; TAH-poo-LAY-lay
Tapu Bulu; TAH-poo-BOO-loo
Tapu Fini; TAH-poo-FEE-nee
Cosmog; KAHZ-mahg
Cosmoem; KAHZ-moh-em
Solgaleo; SOHL-guh-LAY-oh
Lunala; loo-NAH-luh
Nihilego; NYE-uh-LEE-goh
Buzzwole; BUZZ-wohl
Pheromosa; FAIR-uh-MOH-suh
Xurkitree; ZURR-kih-tree
Celesteela; SELL-uh-STEEL-uh
Kartana; kar-TAH-nuh
Guzzlord; GUZZ-lord
Necrozma; neh-KROHZ-muh
Magearna; muh-GEER-nuh
Marshadow; MAR-shad-oh
Poipole; POY-pohl
Naganadel; NAHG-uh-NAH-dull
Stakataka; STAK-uh-TAK-uh
Blacephelon; bluh-SEF-uh-lahn
Zeraora; ZEHR-uh-OHR-uh
